step,pod_index,pod_name,action,scheduled,reason,reward_total,reward_success,reward_fragmentation,reward_balance,reward_slo,frag_before,frag_after,frag_delta,cluster_fragmentation_avg,sigma_cpu_util,sigma_mem_util,sigma_gpu_util,wait_time_ms,current_time,episode_requested_gpu_milli,episode_allocated_gpu_milli,used_gpu_milli,gar_capacity_live,unallocated_gpu_fraction_capacity_live,gar_capacity_cumulative,unallocated_gpu_fraction_capacity_cumulative
0,0,openb-pod-7148,16,1,scheduled,-0.5758067662968767,1.0,-1.5151515151515138,-0.060655251145362854,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.04140744358301163,0.03588185831904411,0.04402120038866997,0.0,12744585.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,1,openb-pod-7150,16,1,scheduled,-0.5758067662968767,1.0,-1.5151515151515138,-0.060655251145362854,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.04140744358301163,0.03588185831904411,0.04402120038866997,0.0,12746031.0,4000.0,4000.0,0.0,0.0,1.0,0.004464285714285714,0.9955357142857143
2,2,openb-pod-7154,16,1,scheduled,-0.5556303849584889,1.0,-1.5151515151515138,-0.040478869806975126,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.022148169577121735,0.01478836964815855,0.04402120038866997,0.0,12747923.0,8000.0,8000.0,0.0,0.0,1.0,0.008928571428571428,0.9910714285714286
3,3,openb-pod-7155,16,1,scheduled,-0.5556303849584889,1.0,-1.5151515151515138,-0.040478869806975126,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.022148169577121735,0.01478836964815855,0.04402120038866997,0.0,12750317.0,12000.0,12000.0,0.0,0.0,1.0,0.013392857142857142,0.9866071428571429
4,4,openb-pod-7158,16,1,scheduled,-0.5556303849584889,1.0,-1.5151515151515138,-0.040478869806975126,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.022148169577121735,0.01478836964815855,0.04402120038866997,0.0,12753278.0,16000.0,16000.0,0.0,0.0,1.0,0.017857142857142856,0.9821428571428571
5,5,openb-pod-7160,16,1,scheduled,-0.5555042820192408,1.0,-1.5151515151515138,-0.04035276686772704,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.022010600194334984,0.014673733152449131,0.04402120038866997,0.0,12754163.0,20000.0,20000.0,0.0,0.0,1.0,0.022321428571428572,0.9776785714285714
6,6,openb-pod-7161,16,1,scheduled,-0.5555042820192408,1.0,-1.5151515151515138,-0.04035276686772704,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.022010600194334984,0.014673733152449131,0.04402120038866997,0.0,12754705.0,24000.0,24000.0,4000.0,0.004464285714285714,0.9955357142857143,0.026785714285714284,0.9732142857142857
7,7,openb-pod-7171,16,1,scheduled,-197.58585649587667,1.0,-198.4848484848485,-0.10100801102817059,0.0,0.007575757575757569,1.0,0.9924242424242424,0.0078125,0.06341803073883057,0.05055559054017067,0.08804240077733994,0.0,12758421.0,28000.0,28000.0,0.0,0.0,1.0,0.03125,0.96875
8,8,openb-pod-7552,16,1,scheduled,-199.0926279425621,1.0,-200.0,-0.09262794256210327,0.0,0.0,1.0,1.0,0.0078125,0.06052915379405022,0.03668433055281639,0.08804240077733994,0.0,12809677.0,32000.0,32000.0,0.0,0.0,1.0,0.03571428571428571,0.9642857142857143
9,9,openb-pod-8046,16,1,scheduled,-199.0926279425621,1.0,-200.0,-0.09262794256210327,0.0,0.0,1.0,1.0,0.0078125,0.06052915379405022,0.03668433055281639,0.08804240077733994,0.0,12867468.0,40000.0,40000.0,8000.0,0.008928571428571428,0.9910714285714286,0.044642857142857144,0.9553571428571429
